tytul;powierzchnia;l_pokoi;pietro;rok_budowy;cena;miejsce;Ulica
Apartament nieopodal mariny z widokiem na park;77.5;3;4;2019;1233530;Gdańsk Długie Ogrody; Św. Barbary
Apartament nad mariną, z widokiem na park;72.3;3;1;2019;1099000;Gdańsk Długie Ogrody; Szafarnia
Morena 3 pokoje 70m2! z ogródkiem;70.0;3;0;NaN;670000;Gdańsk Piecki-Migowo; Myśliwska
Mieszkanie z własnym ogrodem w centrum;45.0;3;0;1905;629000;Gdańsk Biskupia Górka; Biskupia
Penthouse z imponującym tarasem w sercu miasta;87.56;4;5;2018;1230000;Gdańsk Długie Ogrody;
Mieszkanie - Gdańsk Stogi;43.0;2;4;1965;320000;Gdańsk Stogi; Hoża
Wyjątkowy apartament na osiedlu Mila Baltica;70.9;3;1;2017;1299000;Gdańsk Wrzeszcz; Bolesława Chrobrego
Apartament w inwestycji z basenem;46.55;2;6;2018;800000;Gdańsk Śródmieście; Chmielna
Nietuzinkowe mieszkanie na Osowej;58.6;2;2;2009;460000;Gdańsk Osowa; Międzygwiezdna
Mieszkanie 2-pokojowe 33,20 z ogródkiem-Wolne Miasto Gdańsk;33.0;2;0;2019;361777;Gdańsk Ujeścisko; Cedrowa
Dwupokojowy apartament na Garnizonie;41.0;2;5;2017;619000;Gdańsk Wrzeszcz; Mirona Białoszewskiego
Inwestycyjne mieszkanie w sercu miasta nad Motławą;44.0;2;1;1950;589000;Gdańsk Śródmieście; Chlebnicka
Mieszkanie Gdańsk Wyspa Sobieszewska 66.8 m2;66.8;3;2;2021;825000;Gdańsk Śródmieście;
PRZYMORZE,3 pok.OKAZJA, WIDOK NA MORZE;52.5;3;6;1970;469000;Gdańsk Przymorze;
Dwupokojowy apartament na Szafarni;70.0;2;4;2012;889000;Gdańsk Długie Ogrody; Szafarnia
Nowoczesne i przestronne mieszkanie na Ujeścisku!;52.11;2;0;2012;449000;Gdańsk Ujeścisko; Mariana Kołodzieja
DWA POZIOMY / GDAŃSK ŁOSTOWICE / STAN DEWELOPERSKI;63.0;3;3;2021;420000;Gdańsk Łostowice; Pastelowa
Przestronne mieszkanie z tarasem;85.7;3;3;2013;699000;Gdańsk Jasień; Leszczynowa
3 pokoje z osobną kuchnią na Żabiance;56.36;3;0;NaN;525000;Gdańsk Żabianka;
Inwestycja GDAŃSK! 2 pok. BLISKO CENTRUM;52.29;2;0;1970;449000;Gdańsk Siedlce;
Citi Park piękny widok na park;49.9;2;3;2012;620000;Gdańsk Zaspa; Jana Pawła Ii
Słoneczna kawalerka! Wszędzie blisko!;30.94;1;1;1985;289000;Gdańsk Suchanino; Macieja Kamieńskiego
Mieszkanie - Gdańsk Wrzeszcz Górny;84.0;5;9;2010;900000;Gdańsk Wrzeszcz; Juliusza Słowackiego
Mieszkanie - Gdańsk Osowa;95.6;4;0;1997;630000;Gdańsk Osowa; Perseusza
Mieszkanie Gdańsk Śródmieście ul.Długie Ogrody;40.59;2;5;NaN;425000;Gdańsk Długie Ogrody; Długie Ogrody
Mieszkanie 1pok.Gdansk Morena ul.Bażantowa;30.28;1;0;2015;356500;Gdańsk Jasień; Bażantowa
Mieszkanie Gdańsk Morena ul.Królewskie Wzgórze;55.59;NaN;2;2008;530000;Gdańsk Morena; Królewskie Wzgórze
Mieszkanie Gdańsk Siedlce ul.Zakopiańska;53.0;2;0;1960;389000;Gdańsk Siedlce; Zakopiańska
Gdańsk Brzeźno 3 pok. z widokiem na morze !!!;77.26;3;5;1970;559000;Gdańsk Brzeźno; Mazurska
Mieszkanie Gdańsk Siedlce ul.Skarpowa;33.8;1;1;1960;299000;Gdańsk Siedlce; Skarpowa
Mieszkanie Gdańsk Morena ul.Budapesztańska;73.0;4;4;1990;565000;Gdańsk Morena; Budapesztańska
Mieszkanie Gdańsk Siedlce ul.Zakopiańska;51.0;3;3;1960;375000;Gdańsk Siedlce; Zakopiańska
Mieszkanie Gdańsk Śródmieście ul.Wałowa;80.0;3;10;2018;1200000;Gdańsk Śródmieście; Wałowa
Mieszkanie 2-pokojowe 42m2- Gdańsk Suchanino;42.0;2;8;1980;359000;Gdańsk Suchanino; Paderwskiego
Przytulna słoneczna kawalerka blisko lasu;30.0;1;3;2008;355000;Gdańsk Morena; Ferdynanda Magellana
3 pokoje, 2 piętro, miejsce p. wirtualny spacer !;69.2;3;2;2011;494000;Gdańsk Św. Wojciech; Czerska
Sprzedam nowoczesne mieszkanie 43m;42.68;2;2;2015;418000;Gdańsk Jasień; Lawendowe Wzgórze 18
"2 pok.+ kuchnia; blisko na UCZELNIE i nad morze";46.0;2;0;1976;358000;Gdańsk Przymorze; Rzeczypospolitej
Piękny Widok ! 3 pokoje na Suchaninie ! Okazja !;56.12;3;4;1970;448000;Gdańsk Suchanino;
Mieszkanie Gdańsk Morena ul.marusarzówny heleny;60.1;3;1;1986;495000;Gdańsk Morena; Marusarzówny Heleny
Ładne Mieszkanie z dwoma miejscami parkingowymi;53.0;3;2;2018;439000;Gdańsk Kowale; Zeusa
3 pokoje Żabianka;63.0;3;4;1969;599000;Gdańsk Żabianka; Pomorska
Matarnia, mieszkanie z ogródkiem;53.5;2;0;1990;430000;Gdańsk Matarnia - Rębiechowo; Kadetów
Mieszkanie Gdańsk Zaspa ul.żwirki i wigury;48.2;2;4;1978;448000;Gdańsk Zaspa; Żwirki I Wigury
Mieszkanie Gdańsk Morena ul.Warneńska(3 pok.);59.2;3;2;1980;469000;Gdańsk Morena; Warneńska
Mieszkanie Gdańsk 62.12m2;62.12;3;3;1905;408000;Gdańsk Nowy Port; Rybołowców
Mieszkanie - Gdańsk Brzeźno;44.0;2;2;NaN;400000;Gdańsk Brzeźno; Broniewskiego Władysława
Mieszkanie - Gdańsk;52.9;2;2;1968;468000;Gdańsk Przymorze; Krzywoustego
Doskonała lokalizacja;101.85;4;3;2020;529000;Gdańsk Chełm; Pastelowa
LUKSUSOWY apartament na Starówce  KLIMATYZACJA!;58.46;3;3;2018;888592;Gdańsk Śródmieście; Panieńska
Mieszkanie po remoncie bezpośrednio przy lesie !;46.0;2;0;1970;473000;Gdańsk VII Dwór; Henryka Rodakowskiego
2 POKOJE/ GDAŃSK - PRZYMORZE/ SZYBKIE WYDANIE;46.0;2;0;1970;399000;Gdańsk Przymorze; Obrońców Wybrzeża
"JASIEŃ/ 2 POKOJE/ ""LAWENDOWE WZGÓRZE""/ OD ZARAZ";44.81;2;1;2014;399000;Gdańsk Szadółki; Jabłoniowa
Kameralnie blisko Centrum 4 pokoje we Wrzeszczu;106.0;4;4;2007;1099000;Gdańsk Wrzeszcz; Hugo Kołłątaja
3 pokoje na Morenie w atrakcyjnej cenie!;63.5;3;2;1978;449000;Gdańsk Morena; Ignacego Matuszewskiego
Przymorze, przestronne 3 pokoje z balkonem;53.0;3;0;1969;510000;Gdańsk Przymorze; Jagiellońska
Mieszkanie Gdańsk Zaspa Pilotów 42.4 m2;42.4;2;8;NaN;408000;Gdańsk Zaspa; Pilotów
Mieszkanie Gdańsk Przymorze Obrońców Wybrzeża 46 m2;46.0;2;0;NaN;399000;Gdańsk Przymorze; Obrońców Wybrzeża
Mieszkanie na sprzedaż, Gdańsk, Jasień, 3 pokoje, 61,29 mkw, za 499514 zł. Kup Bez Prowizji!;61.29;3;4;NaN;499514;Gdańsk Szadółki; Jabłoniowa
Mieszkanie na sprzedaż, Gdańsk, Jasień, 2 pokoje, 34,19 mkw, za 303010 zł. Kup Bez Prowizji!;34.19;2;1;NaN;303010;Gdańsk Szadółki; Jabłoniowa
Mieszkanie na sprzedaż, Gdańsk, Jasień, 3 pokoje, 72,12 mkw, za 504840 zł. Kup Bez Prowizji!;72.12;3;4;NaN;504840;Gdańsk Szadółki; Jabłoniowa
Jasne mieszkanie na Żabiance - 3 pokoje, loggia;56.36;3;0;1979;525000;Gdańsk Żabianka; Szyprów
Apartament Zaspa 2 pokoje lokalizacja piwnica;47.8;2;1;2004;529000;Gdańsk Zaspa; Jana Pawła Ii
Mieszkanie na sprzedaż, Gdańsk, Jasień, 5 pokoi, 95,54 mkw, za 649468 zł. Kup Bez Prowizji!;95.54;5;4;NaN;649468;Gdańsk Szadółki; Jabłoniowa
Kwatery pracownicze od 10% do 18% RRSO Letnica;145.41;5;2;1970;599000;Gdańsk Letnica; Narwicka
Kawalerka w Centrum Gdańska;32.6;1;1;1960;284000;Gdańsk Siedlce;
Z ogródkiem, nowe, 2 pok. na Łostowicach;44.0;2;0;2019;380000;Gdańsk Łostowice; Niepołomicka
Przestronne mieszkanie blisko Morza;45.72;2;4;1975;390000;Gdańsk Brzeźno;
Nowoczesne mieszkanie Gdańsk- Jasień;50.0;3;1;2016;396000;Gdańsk Jasień;
Piękne mieszkanie,78m2, 4pok.I p.tar.Gd-,Łostowice;98.37;4;1;2021;499000;Gdańsk Łostowice; Niepołomicka
Apartament 2-pokoje 55,70m2 - Baltica Towers;55.0;2;4;2019;724000;Gdańsk Brzeźno; Hallera Józefa Al.
Mieszkanie - Gdańsk Orunia Górna;50.94;3;4;1992;399000;Gdańsk Orunia Górna; Uranowa
ŚWIETNE 2 POKOJE NA PRZYMORZU!;43.0;2;3;1980;399000;Gdańsk Przymorze; Prezydenta Lecha Kaczyńskiego
Przestronny apartament do wejścia z balkonem;120.0;5;3;2011;599000;Gdańsk Łostowice; Jana Kielasa
4pokoje 75m2 niespełna 1,5km od morza!;74.9;4;7;1993;737690;Gdańsk Zaspa; Jana Pawła Ii
75m2- I piętro dla rodziny - Chełm;74.78;4;1;1991;619000;Gdańsk Chełm; Reformacka
Bardzo przestronne 3 pokoje z balkonem;73.0;3;3;2010;560000;Gdańsk Łostowice; Hokejowa
Apartament z ogrodem, blisko las, Morena Park!;70.1;3;0;2007;710000;Gdańsk Morena; Wołkowyska
Mieszkanie we Wrzeszczu z ogrzewaniem miejskim;58.0;3;0;1953;469000;Gdańsk Wrzeszcz; Adama Mickiewicza
Słoneczne przestronne mieszkanie 2 pokojowe;47.0;2;2;2008;375000;Gdańsk Łostowice; Wielkopolska
Rewelacyjna inwestycja, blisko centrum!;73.41;4;0;1903;655000;Gdańsk Dolne Miasto; Stefanii Sempołowskiej
Ul. Wajdeloty, 3-pokoje z możliwością 5;72.0;3;2;1930;569000;Gdańsk Wrzeszcz; Wajdeloty 1
Przymorze, apartament z pięknym widokiem;65.2;NaN;9;2020;899000;Gdańsk Przymorze; Obrońców Wybrzeża
Kawalerka w idealnej lokalizacji!;30.0;1;5;2007;360000;Gdańsk Zaspa; Stanisława Skarżyńskiego
3 pokoje Albat Mezzo OBC Alchemia;66.84;3;5;2020;736309;Gdańsk Przymorze; Krynicka 3a/46
Lokal użytkowy Wrzeszcz - Idealny na inwestycje.;34.0;2;0;1955;375000;Gdańsk Wrzeszcz; Wyspiańskiego Stanisława
Szybki odbiór - Wysoki standard - Słoneczne;46.5;2;3;2019;326079;Gdańsk Łostowice;
Mieszkanie 45 m2 - Pohulanka;45.0;2;3;2013;620000;Gdańsk Śródmieście; Pohulanka 8
Przytulne 2 pokojowe w nowej inwestycji-Łostowice;50.9;2;3;2017;399000;Gdańsk Łostowice; Hokejowa
Spółdzielcze Własnościowe prawo do Lokalu;30.0;1;1;1970;285000;Gdańsk Przymorze; Chłopska
Słoneczne mieszkanie z balkonem Gdańsk Morena;60.1;3;1;1986;495000;Gdańsk Morena; Heleny Marusarzówny
Kameralna inwestycja - Szybkie wydanie;54.5;3;2;2019;361059;Gdańsk Św. Wojciech; Borkowska
Ładne mieszkanie z ogródkiem, piwnicą oraz miejscem postojowym;39.9;2;0;2012;420000;Gdańsk Jasień; Morelowa
Mieszkanie - Gdańsk Aniołki;46.92;2;3;2020;530196;Gdańsk Siedlce; Powstańców Warszawskich
Gdańsk Stogi-2-pok ul.Hoża;35.0;2;4;1970;287000;Gdańsk Stogi; Hoża
Mieszkanie - Gdańsk Jasień;42.0;2;0;2014;395000;Gdańsk Szadółki; Lawendowe Wzgórze
Apartament 2-pokoje 43m2 przy Marinie;43.0;2;0;2019;649000;Gdańsk Długie Ogrody; Świętej Barbary
Ścisłe centrum! 2 pokoje, wysoki standard;38.0;2;3;2018;640000;Gdańsk Śródmieście; Tartaczna
Atrakcyjne trzypokojowe mieszkanie z ogródkiem;72.33;3;0;2012;520000;Gdańsk Szadółki; Stężycka
Duży ogród, 2-pokojowe na Jasieniu, blisko centrum;43.7;2;0;2012;415000;Gdańsk Szadółki; Morelowa
Przestronne / dobrze skomunikowane / ciche / ZASPA;62.5;3;1;1980;569000;Gdańsk Zaspa; Dywizjonu 303
3 pokoje, Jasień, nowe budownictwo;47.0;3;2;2016;387000;Gdańsk Rębowo; Kazimierza Leskiego
2 pokoje blisko Gdańskiej Starówki!;54.0;2;3;1905;499000;Gdańsk Długie Ogrody; Łąkowa
Wygodne mieszkanie dla rodziny lub pod wynajem!;49.0;2;1;1982;439000;Gdańsk Morena; Piecewska
2 oddzielne pokoje z balkonem Przymorze;43.0;2;3;1970;379000;Gdańsk Przymorze; Kołobrzeska
Przestronne mieszkanie 2-pok na Starym Mieście;71.0;2;3;1956;599000;Gdańsk Śródmieście; Podwale Staromiejskie
Jasne mieszkanie 2-pok;44.3;2;1;1920;279000;Gdańsk Orunia Dolna; Związkowa
Nowy Stylowy Apartament w Brzeźnie 600m do Plaży;41.5;2;4;2019;570000;Gdańsk Brzeźno; Gen. Józefa Hallera
Wyjątkowe, nowoczesne 3 pokoje, Łostowice;65.0;3;2;2009;489000;Gdańsk Łostowice; Hokejowa
Mieszkanie - Gdańsk Brzeźno;35.0;2;4;NaN;385000;Gdańsk Brzeźno; Hallera
Apartament dwupoziomowy wysoki standard, Szafarnia;90.0;3;0;2012;1190000;Gdańsk Długie Ogrody; Szafarnia
Kawalerka z widokiem na zatokę - ul. Karpacka, Oliwa;31.0;1;8;1980;359000;Gdańsk Oliwa; Karpacka 2
2 pokoje niski blok 2p/4p  Przymorze Małe PILNE;42.82;2;2;1970;341000;Gdańsk Przymorze; Jana Solikowskiego
1 pokój ,13 piętro z widokiem ! Przymorze;32.0;1;13;2020;499000;Gdańsk Przymorze; Obrońców Wybrzeża
Apartament w inwestycji RiverView 33m2 - Okazja;33.0;1;3;2019;495000;Gdańsk Długie Ogrody; Angielska Grobla
Mieszkanie 2-pokojowe 40,60m2 idealne pod inwestycje - Gdańsk Śródmieście;40.0;2;5;1975;435000;Gdańsk Długie Ogrody; Długie Ogrody
3 pokoje 42,7 m2 Plac Wybickiego Wrzeszcz;42.7;3;0;1950;498000;Gdańsk Wrzeszcz; Pl. Józefa Wybickiego
4 pokojowe mieszkanie w jednej z najbardziej pożądanych  dzielnic Gdańska Morena;80.0;4;1;2013;760000;Gdańsk Morena; Królewskie Wzgórze
Mieszkanie 2-pokoje 29,27m2 - bezpośrednio przy Marinie Gdańsk;29.0;2;3;2019;470000;Gdańsk Długie Ogrody; Świętej Barbary
Gotowe do wprowadzenia w odnowionej kamienicy;67.05;3;2;1898;569000;Gdańsk Dolne Miasto; Łąkowa
Gdańsk Śródmieście Czopowa;54.5;2;2;2014;850000;Gdańsk Śródmieście; Czopowa
DOSKONAŁA KAWALERKA NA ŻABIANCE!;28.050;1;3;1980;310000;Gdańsk Oliwa; Bitwy Oliwskiej
Piastowska66_58m2_3-pok.osobne;58.0;3;0;1956;495000;Gdańsk Przymorze; Piastowska
Idealna lokalizacja Quattro Towers;51.0;2;4;2011;665000;Gdańsk Wrzeszcz; Partyzantów
Mieszkanie - Gdańsk Jasień;44.67;2;0;2014;419000;Gdańsk Szadółki; Lawendowe Wzgórze
Świetna Lokalizacja, Morena 65m2 3 pokoje !;65.0;3;7;1993;560000;Gdańsk Morena; Bulońska
3 pokojowe mieszkanie na Morenie;59.1;3;1;1980;499000;Gdańsk Morena; Marusarzówny
Mieszkanie - Gdańsk Aniołki;80.0;3;2;NaN;1200000;Gdańsk Aniołki; Marsz. Ferdynanda Focha
2 Pokoje tuż przy Uniwersytecie Gdańskim;49.1;2;0;1960;417000;Gdańsk Strzyża; Grzegorza Fitelberga
Doskonałe pod działalność/dla niepełnosprawnych;46.0;2;0;1970;420000;Gdańsk Przymorze; Kołobrzeska
Mieszkanie Gdańsk Przymorze  44.5 m2;44.5;2;4;2020;569000;Gdańsk Przymorze;
Doskonała nieruchomość pod inwestycje!;67.7;5;0;NaN;550000;Gdańsk Zaspa; Dywizjonu 303
Mieszkanie w doskonałej lokalizacji!;105.57;3;3;2020;549900;Gdańsk Chełm; Pastelowa
3 pokoje na Siedlcach - WIDOK: panorama miasta;56.12;3;10;NaN;440000;Gdańsk Siedlce; Jacka Malczewskiego
94m2 4 pokoje OSOWA;94.0;4;1;2011;685000;Gdańsk Osowa; Nowy Świat
Gdańsk Przymorze mieszkanie 2 pokojowe sprzedam;41.0;2;2;1978;369000;Gdańsk Przymorze; Jagiellońska
Gdańsk Przymorze-3-pok ul.Chłopska;52.0;3;2;1975;489000;Gdańsk Przymorze; Chłopska
2 pokoje gotowe do odbioru | Nowoczesne osiedle;36.14;2;2;2020;269000;Gdańsk Łostowice; Niepołomicka
Osobna, duża kuchnia, balkon! Bardzo Słoneczne!;54.0;2;3;1960;599000;Gdańsk Wrzeszcz; Do Studzienki
Inwestycyjne mieszkanie w centrum!;66.0;2;2;1920;459000;Gdańsk Dolne Miasto; Stefanii Sempołowskiej
Nietuzinkowe wnętrze / 2 łazienki / widok na park;73.0;3;4;2019;1142700;Gdańsk Długie Ogrody; Św. Barbary
Mieszkanie 2-pokojowe Gdańsk Przymorze Blisko Morza;38.0;2;4;1970;380000;Gdańsk Przymorze; Jagiellońska
Dwa niezależne pokoje w Centrum Wrzeszcza;51.47;2;4;1980;455000;Gdańsk Wrzeszcz; Grunwaldzka
Wygodne mieszkanie dla rodziny lub pod wynajem!;49.0;2;1;1982;439000;Gdańsk Morena; Piecewska
Mieszkanie 3-pokojowe;58.0;3;6;2018;588000;Gdańsk Letnica; Starowiejska
Mieszkanie - Gdańsk Stare Miasto;46.0;2;3;2014;666000;Gdańsk Śródmieście; Tartaczna
Mieszkanie - Gdańsk Stare Miasto;87.0;3;3;NaN;1914000;Gdańsk Śródmieście; Chmielna
Mieszkanie 4-pok we Wrzeszczu;66.0;4;1;1960;540000;Gdańsk Wrzeszcz; Hallera
Mieszkanie - Gdańsk Maćkowy;45.67;3;0;NaN;389000;Gdańsk Orunia Górna; Starogardzka
Przytulne mieszkanie 2-pok Osiedle Horyzont;40.8;2;9;2005;500000;Gdańsk Przymorze; Obrońców Wybrzeża
Dom Szeregowy W Centrum Wrzeszcza;112.4;4;0;NaN;829000;Gdańsk Wrzeszcz; Własna Strzecha
Przytulne mieszkanie 2-pok. 5 min do Starówki;42.0;2;0;1960;405000;Gdańsk Śródmieście; Rzeźnicka
JASIEŃ/ 3 POKOJE/ OGRÓDEK/ DUŻY SALON;70.15;3;0;2014;561000;Gdańsk Jasień; Leszczynowa
SŁONECZNE, GOTOWE DO ZAMIESZKANIA, PIERWSZE PIĘTRO;48.0;2;1;2011;429900;Gdańsk Ujeścisko; Przemyska
UNIKATOWE W SERCU ŚRÓDMIEŚCIA;55.2;2;4;1953;699000;Gdańsk Śródmieście; Browarna
Aktualne. 2 pokoje w Brzeźno 500 metrów do plaży;27.0;2;4;1975;299000;Gdańsk Brzeźno; Dworska
Klimatyczne 3 Pokoje Gdańsk Śródmieście;68.3;3;3;1900;445000;Gdańsk Biskupia Górka; Biskupia
Spółdzielcze własnościowe trzypokojowe;57.62;2;4;1973;490000;Gdańsk Żabianka; Szyprów
W sercu Wrzezcza;73.7;3;1;1919;550000;Gdańsk Wrzeszcz; Marii Konopnickiej
Najlepszy adres w mieście!;41.19;2;6;2019;774372;Gdańsk Śródmieście; Chmielna
Dwie bardzo stylowe kawalerki- Wrzeszcz/Strzyża;35.7;2;0;NaN;560000;Gdańsk Strzyża; Grunwaldzka
Apartament trzypokojowy z widokiem na morze;64.0;3;12;2012;685000;Gdańsk Przymorze; Rzeczypospolitej
Wygodne mieszkanie dla rodziny lub pod wynajem!;49.0;2;1;1982;439000;Gdańsk Morena; Piecewska
Mieszkanie - Gdańsk Zaspa;65.0;3;3;NaN;580585;Gdańsk Zaspa; Skarżyńskiego
Śródmieście, mieszkanie 3-pokojowe w kamienicy. Blisko Młodego Miasta!;57.0;3;3;1918;515000;Gdańsk Śródmieście; Lisia Grobla
Gotowiec inwestycyjny, Wyspa Spichrzów;40.0;2;1;2017;630000;Gdańsk Stare Przedmieście; Jaglana
53m2 z ogródkiem nad Jeziorem Jasień;53.0;2;0;2011;519000;Gdańsk Jasień; Życzliwa
Apartament 87,56m2 Gdańsk Śródmieście - Taras 77m2;87.0;4;5;2018;1230000;Gdańsk Długie Ogrody; Długa Grobla
Apartament z 22 m2 tarasem- niesamowity widok!;67.0;3;6;2021;899000;Gdańsk Długie Ogrody; Św. Barbary
Apartament z klasą;31.080;1;0;2018;519000;Gdańsk Śródmieście; Panieńska
Mieszkanie na sprzedaż,stogi;46.0;3;1;1970;345000;Gdańsk Stogi;
Mieszkanie Gdańsk Przymorze  32 m2;32.0;1;13;2020;499000;Gdańsk Przymorze;
3 pokojowe mieszkanie idealne pod inwestycję.;56.0;3;1;1930;450000;Gdańsk Stogi; Jodłowa
Wyjątkowe I 5 pokoi, 100m2 I Balkon I Dwupoziomowe;100.0;5;3;2011;599000;Gdańsk Łostowice; Jana Kielasa
2 pokojowe mieszkanie do własnej aranżacji Gdańsk;42.0;2;4;1972;330000;Gdańsk Stogi; Tamka
Słoneczna kawalerka w idealnej lokalizacji!;30.0;1;5;2007;360000;Gdańsk Zaspa; Stanisława Skarżyńskiego
Słoneczne 2 pokoje Wrzeszcz Dolny;49.0;2;1;1970;485000;Gdańsk Wrzeszcz; Sochaczewska
2 pokojowe mieszkanie w bliskiej odległości do morza.;42.0;2;3;1978;345000;Gdańsk Przeróbka; Bajki
Przestronne 3 pokojowe blisko komunikacji;68.23;3;0;2016;885000;Gdańsk Przymorze; Szczecińska
Mieszkanie 63m2  5 pokoi;63.0;5;4;1980;449000;Gdańsk Morena; Warneńska
Możliwość 4 pokoi w Oliwie !;78.84;2;1;1902;650000;Gdańsk Oliwa; Grunwaldzka
Mieszkanie Gdańsk   92.4 m2;92.4;4;1;2019;1249000;Gdańsk;
Ekskluzywny apartament w Mila Baltica!;66.68;3;3;2017;1095000;Gdańsk Zaspa; Bolesława Chrobrego
Słoneczny Apartament | Riverview;28.070;1;3;2020;495000;Gdańsk Długie Ogrody; Angielska Grobla
Słoneczny Apartament 3-pokoje Gdańsk Morena 72m2;72.0;3;12;2012;849000;Gdańsk Morena; Piecewska
Słoneczne 3 pokoje Brzeźno;59.0;3;7;1980;575000;Gdańsk Przymorze; Kołobrzeska
Przestronne 2 pokoje w dobrej lokalizacji !;47.0;2;2;2009;449000;Gdańsk Morena; Morenowe Wzgórze
2 pokojowe mieszkanie gotowe do wprowadzenia Gdańsk Chełm;49.0;2;1;2010;478000;Gdańsk Ujeścisko; Rogalinska
Gotowy Apartament znakomity pod inwestycje;62.0;3;3;2015;730000;Gdańsk Stare Przedmieście; Toruńska
MORENA/2 POKOJE/WYSOKI STANDARD/PARKING;48.02;2;2;2019;530000;Gdańsk Morena; Morenowe Wzgórze
Bezposrednio - mieszkanie 2-poziomowe Bretowska Brama;168.0;11;9;2000;2100000;Gdańsk Strzyża; Słowackiego 69
Nowe 2-pokojwe mieszkanie- Gdańsk Łostowice;50.0;2;3;2020;399000;Gdańsk Łostowice; Złota
Kawalerka w świetnej lokalizacji.;34.1;1;5;2007;360000;Gdańsk Zaspa; Stanisława Skarżyńskiego
Zadbane (70m/3 pokoje) w sercu Gdańska;70.0;3;0;1901;699000;Gdańsk Dolne Miasto; Zielona
Deo plaza - luksus & widok;74.21;2;4;2019;2300510;Gdańsk Śródmieście; Chmielna
Deo plaza - prestiż & widok;103.42;3;4;2019;3309440;Gdańsk Śródmieście; Chmielna
Okazja! Mieszkanie 2 pokojowe - Gdańsk Jasień.;49.8;2;0;1998;435000;Gdańsk Jasień; Stolema
Sprzedam mieszkanie 2 pokojowe 47,3 m2;47.0;2;3;1957;370000;Gdańsk Nowy Port; Oliwska 81
Zamiana dom dopłata Chałubińskiego 50 Metrów 1 piętro 2 pokoje Winda;50.0;2;1;1983;420000;Gdańsk Chełm; Chałubińskiego 22
Fajne mieszkanie na zaspie;62.4;2;1;1970;570000;Gdańsk Zaspa; Dywizjonu 303
Gdańsk Brzeźno 2 pokoje niedaleko plaży;39.0;2;3;1975;420000;Gdańsk Brzeźno; Broniewskiego
Apartament blisko morza 32m2;32.0;1;3;2020;445000;Gdańsk Brzeźno; Hallera
Mieszkanie 3 pokojowe plus garaż;98.0;3;1;1900;849000;Gdańsk Wrzeszcz; Aldony
Gdańsk Wrzeszcz 3 pokoje;98.0;3;1;1900;849000;Gdańsk Wrzeszcz; Aldony
Gdańsk Przymorze - słoneczne studio;23.0;1;7;NaN;299000;Gdańsk Przymorze; Śląska
DWUPOZIOMOWE MIESZKANIE NA GRANICY GDAŃSKA/SOPOTU;148.8;3;0;1990;1450000;Gdańsk Oliwa; Józefa Czyżewskiego
Mieszkanie Gdańsk Łostowice Brylantowa 79 m2;79.0;4;1;NaN;539000;Gdańsk Łostowice; Brylantowa
Nowe mieszkanie z ogródkiem;80.0;4;0;2019;795000;Gdańsk Letnica; Starowiejska
3 pok w Jelitkowie Nowe Budownictwo Hala Garaż !;70.0;3;3;2005;949000;Gdańsk Jelitkowo;
Mieszkanie z klimatem w centrum Starego Miasta.;69.0;3;1;1955;599000;Gdańsk Śródmieście;
Nowa cena 3 pokojowe z balkonem, Żabianka;54.0;3;2;1972;510000;Gdańsk Żabianka; Szyprów
MIeszkanie 4-pokojowe, Gdańsk Zakoniczyn;77.0;4;2;2007;590000;Gdańsk Zakoniczyn; Kazimierza Porębskiego
Piękne mieszkanie- blisko morza !;54.0;3;3;2005;849000;Gdańsk Przymorze; Jelitkowski Dwór
Gdańsk Zaspa 3 pokoje;65.0;3;4;1991;579000;Gdańsk Zaspa; Stanisława Skarżyńskiego
Świetne 3 pokoje w kamienicy we Wrzeszczu!;74.0;3;1;1920;550000;Gdańsk Wrzeszcz; Marii Konopnickiej
2 pokojowy apartament Gdańsk Przymorze. SKM.;50.0;2;2;2007;585000;Gdańsk Przymorze; Szczecińska
Apartament w otoczeniu morza;62.79;3;6;2019;799000;Gdańsk Wrzeszcz; Grudziądzka
Wyjątkowa nieruchomość w doskonałym miejscu!;49.0;2;4;1991;420000;Gdańsk Siedlce; Lecha Bądkowskiego
Luksusowe 3 pokojowe mieszkanie na pięknym osiedlu.;52.4;3;3;2003;849000;Gdańsk Przymorze; Jelitkowski Dwór
Elegancki apartament we Wrzeszczu;72.0;3;2;2018;1025000;Gdańsk Wrzeszcz; Joachima Lelewela
Dwupoziomowy apartament, elegacki styl - centrum;147.8;6;4;1997;1199000;Gdańsk Siedlce;
Gdańsk Brzeźno 3 pok. z widokiem na morze !!!;77.26;3;5;1970;559000;Gdańsk Brzeźno; Mazurska
Zamieszkaj nad morzem 3 pokoje w mila baltica!;66.68;3;3;2017;1095000;Gdańsk Zaspa; Bolesława Chrobrego
Ekskluzywny apartament w mila baltica !;66.68;3;3;2017;1095000;Gdańsk Zaspa; Bolesława Chrobrego
Idealna inwestycja 240m od ulicy Długiej!;49.0;2;2;1960;499000;Gdańsk Stare Przedmieście; Rzeźnicka
Wrzeszcz, Garnizon - 2 Pokoje;37.9;2;2;2020;449850;Gdańsk Wrzeszcz; Bogusława Leśmiana
Ładne mieszkanie w niskim budownictwie;60.1;3;1;1986;495000;Gdańsk Morena; Heleny Marusarzówny
Dwa pokoje Gdańsk;37.0;2;2;NaN;269000;Gdańsk Orunia Dolna; Granitowa
